currkey,currdec,operation_flag,is_deleted,recordstamp
0,,L,False,2022-01-31 20:43:53.993709+00:00
ADP,,L,False,2022-01-31 20:43:53.993709+00:00
AFA,,L,False,2022-01-31 20:43:53.993709+00:00
BEF,,L,False,2022-01-31 20:43:53.993709+00:00
BIF,,L,False,2022-01-31 20:43:53.993709+00:00
BYB,,L,False,2022-01-31 20:43:53.993709+00:00
BYR,,L,False,2022-01-31 20:43:53.993709+00:00
CLP,,L,False,2022-01-31 20:43:53.993709+00:00
COP,,L,False,2022-01-31 20:43:53.993709+00:00
DJF,,L,False,2022-01-31 20:43:53.993709+00:00
ECS,,L,False,2022-01-31 20:43:53.993709+00:00
ESP,,L,False,2022-01-31 20:43:53.993709+00:00
GNF,,L,False,2022-01-31 20:43:53.993709+00:00
GRD,,L,False,2022-01-31 20:43:53.993709+00:00
HUF,,L,False,2022-01-31 20:43:53.993709+00:00
IDR,,L,False,2022-01-31 20:43:53.993709+00:00
ISK,,L,False,2022-01-31 20:43:53.993709+00:00
ITL,,L,False,2022-01-31 20:43:53.993709+00:00
JPY,,L,False,2022-01-31 20:43:53.993709+00:00
KMF,,L,False,2022-01-31 20:43:53.993709+00:00
KRW,,L,False,2022-01-31 20:43:53.993709+00:00
LAK,,L,False,2022-01-31 20:43:53.993709+00:00
LUF,,L,False,2022-01-31 20:43:53.993709+00:00
MGF,,L,False,2022-01-31 20:43:53.993709+00:00
MZM,,L,False,2022-01-31 20:43:53.993709+00:00
PTE,,L,False,2022-01-31 20:43:53.993709+00:00
PYG,,L,False,2022-01-31 20:43:53.993709+00:00
ROL,,L,False,2022-01-31 20:43:53.993709+00:00
RWF,,L,False,2022-01-31 20:43:53.993709+00:00
TJR,,L,False,2022-01-31 20:43:53.993709+00:00
TMM,,L,False,2022-01-31 20:43:53.993709+00:00
TPE,,L,False,2022-01-31 20:43:53.993709+00:00
TRL,,L,False,2022-01-31 20:43:53.993709+00:00
TWD,,L,False,2022-01-31 20:43:53.993709+00:00
UGX,,L,False,2022-01-31 20:43:53.993709+00:00
VND,,L,False,2022-01-31 20:43:53.993709+00:00
VUV,,L,False,2022-01-31 20:43:53.993709+00:00
XAF,,L,False,2022-01-31 20:43:53.993709+00:00
XOF,,L,False,2022-01-31 20:43:53.993709+00:00
XPF,,L,False,2022-01-31 20:43:53.993709+00:00
1,1.0,L,False,2022-01-31 20:43:53.993709+00:00
2,2.0,L,False,2022-01-31 20:43:53.993709+00:00
3,3.0,L,False,2022-01-31 20:43:53.993709+00:00
BHD,3.0,L,False,2022-01-31 20:43:53.993709+00:00
DEM3,3.0,L,False,2022-01-31 20:43:53.993709+00:00
IQD,3.0,L,False,2022-01-31 20:43:53.993709+00:00
JOD,3.0,L,False,2022-01-31 20:43:53.993709+00:00
KWD,3.0,L,False,2022-01-31 20:43:53.993709+00:00
LYD,3.0,L,False,2022-01-31 20:43:53.993709+00:00
OMR,3.0,L,False,2022-01-31 20:43:53.993709+00:00
TND,3.0,L,False,2022-01-31 20:43:53.993709+00:00
4,4.0,L,False,2022-01-31 20:43:53.993709+00:00
5,5.0,L,False,2022-01-31 20:43:53.993709+00:00
AU5,5.0,L,False,2022-01-31 20:43:53.993709+00:00
USDN,5.0,L,False,2022-01-31 20:43:53.993709+00:00
6,6.0,L,False,2022-01-31 20:43:53.993709+00:00
7,7.0,L,False,2022-01-31 20:43:53.993709+00:00
8,8.0,L,False,2022-01-31 20:43:53.993709+00:00
9,9.0,L,False,2022-01-31 20:43:53.993709+00:00
10,10.0,L,False,2022-01-31 20:43:53.993709+00:00
11,11.0,L,False,2022-01-31 20:43:53.993709+00:00
12,12.0,L,False,2022-01-31 20:43:53.993709+00:00
13,13.0,L,False,2022-01-31 20:43:53.993709+00:00
14,14.0,L,False,2022-01-31 20:43:53.993709+00:00
